fiveTuple,srcIP,dstIP,protocol,srcPort,dstPort,flowDuration,flowLength,fwdFlowLength,bwdFlowLength,packetSizeTotal,packetSizeMean,packetSizeStd,packetSizeMin,packetSizeMax,fwdPacketSizeTotal,bwdPacketSizeTotal,fwdPacketSizeMean,bwdPacketSizeMean,fwdPacketSizeStd,bwdPacketSizeStd,fwdPacketSizeMin,bwdPacketSizeMin,fwdPacketSizeMax,bwdPacketSizeMax,IATMean,IATStd,IATMin,IATMax,fwdIATTotal,bwdIATTotal,fwdIATMean,bwdIATMean,fwdIATStd,bwdIATStd,fwdIATMin,bwdIATMin,fwdIATMax,bwdIATMax
198.199.96.210--138.68.177.159--TCP--38792--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),38792,6439342000.000000,50.000000,0.000000,50.000000,8750.000000,175.000000,0.000000,175.000000,175.000000,0.000000,8750.000000,175.000000,175.000000,0.000000,0.000000,0.000000,175.000000,0.000000,175.000000,131415000.000000,2480000.000000,129564000.000000,143476000.000000,0.000000,6439342000.000000,0.000000,131415000.000000,0.000000,2480000.000000,0.000000,129564000.000000,0.000000,143476000.000000
138.68.177.159--198.199.96.210--TCP--8080(http-alt)--55376,198.199.96.210,138.68.177.159,TCP,55376,8080(http-alt),1545790000.000000,27.000000,0.000000,27.000000,5377.000000,199.148148,160.598350,66.000000,399.000000,0.000000,5377.000000,199.148148,199.148148,0.000000,160.598350,0.000000,66.000000,0.000000,399.000000,59453000.000000,61349000.000000,880000.000000,135112000.000000,0.000000,1545790000.000000,0.000000,59453000.000000,0.000000,61349000.000000,0.000000,880000.000000,0.000000,135112000.000000
138.68.177.159--198.199.96.210--TCP--8080(http-alt)--55066,198.199.96.210,138.68.177.159,TCP,55066,8080(http-alt),3899099000.000000,83.000000,0.000000,83.000000,15260.000000,183.855422,156.664336,66.000000,408.000000,0.000000,15260.000000,183.855422,183.855422,0.000000,156.664336,0.000000,66.000000,0.000000,408.000000,47549000.000000,62141000.000000,4000.000000,143756000.000000,0.000000,3899099000.000000,0.000000,47549000.000000,0.000000,62141000.000000,0.000000,4000.000000,0.000000,143756000.000000
198.199.96.210--138.68.177.159--TCP--58944--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),58944,391527000.000000,19.000000,0.000000,19.000000,45987.000000,2420.368421,1029.890501,66.000000,2962.000000,0.000000,45987.000000,2420.368421,2420.368421,0.000000,1029.890501,0.000000,66.000000,0.000000,2962.000000,21751000.000000,41029000.000000,1000.000000,132102000.000000,0.000000,391527000.000000,0.000000,21751000.000000,0.000000,41029000.000000,0.000000,1000.000000,0.000000,132102000.000000
138.68.177.159--198.199.96.210--TCP--8080(http-alt)--36876,198.199.96.210,138.68.177.159,TCP,36876,8080(http-alt),4595557000.000000,83.000000,0.000000,83.000000,16595.000000,199.939759,160.811747,66.000000,402.000000,0.000000,16595.000000,199.939759,199.939759,0.000000,160.811747,0.000000,66.000000,0.000000,402.000000,56043000.000000,64285000.000000,6000.000000,148761000.000000,0.000000,4595557000.000000,0.000000,56043000.000000,0.000000,64285000.000000,0.000000,6000.000000,0.000000,148761000.000000
198.199.96.210--138.68.177.159--TCP--38724--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),38724,6448086000.000000,50.000000,0.000000,50.000000,8750.000000,175.000000,0.000000,175.000000,175.000000,0.000000,8750.000000,175.000000,175.000000,0.000000,0.000000,0.000000,175.000000,0.000000,175.000000,131593000.000000,3341000.000000,129759000.000000,148591000.000000,0.000000,6448086000.000000,0.000000,131593000.000000,0.000000,3341000.000000,0.000000,129759000.000000,0.000000,148591000.000000
198.199.96.210--138.68.177.159--TCP--55606--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),55606,915612000.000000,83.000000,0.000000,83.000000,203374.000000,2450.289157,1019.450319,66.000000,2962.000000,0.000000,203374.000000,2450.289157,2450.289157,0.000000,1019.450319,0.000000,66.000000,0.000000,2962.000000,11166000.000000,33912000.000000,1000.000000,132401000.000000,0.000000,915612000.000000,0.000000,11166000.000000,0.000000,33912000.000000,0.000000,1000.000000,0.000000,132401000.000000
138.68.177.159--198.199.96.210--TCP--8080(http-alt)--40182,198.199.96.210,138.68.177.159,TCP,40182,8080(http-alt),1219497000.000000,25.000000,0.000000,25.000000,4606.000000,184.240000,157.703083,66.000000,412.000000,0.000000,4606.000000,184.240000,184.240000,0.000000,157.703083,0.000000,66.000000,0.000000,412.000000,50812000.000000,62390000.000000,9000.000000,137791000.000000,0.000000,1219497000.000000,0.000000,50812000.000000,0.000000,62390000.000000,0.000000,9000.000000,0.000000,137791000.000000
198.199.96.210--138.68.177.159--TCP--58870--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),58870,933733000.000000,83.000000,0.000000,83.000000,193386.000000,2329.951807,1118.803512,66.000000,2962.000000,0.000000,193386.000000,2329.951807,2329.951807,0.000000,1118.803512,0.000000,66.000000,0.000000,2962.000000,11386000.000000,34648000.000000,1000.000000,140414000.000000,0.000000,933733000.000000,0.000000,11386000.000000,0.000000,34648000.000000,0.000000,1000.000000,0.000000,140414000.000000
198.199.96.210--138.68.177.159--TCP--58658--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),58658,544939000.000000,83.000000,0.000000,83.000000,193066.000000,2326.096386,1129.907914,103.000000,2962.000000,0.000000,193066.000000,2326.096386,2326.096386,0.000000,1129.907914,0.000000,103.000000,0.000000,2962.000000,6645000.000000,29332000.000000,2000.000000,147693000.000000,0.000000,544939000.000000,0.000000,6645000.000000,0.000000,29332000.000000,0.000000,2000.000000,0.000000,147693000.000000
138.68.177.159--198.199.96.210--TCP--8080(http-alt)--43138,198.199.96.210,138.68.177.159,TCP,43138,8080(http-alt),4302005000.000000,83.000000,0.000000,83.000000,15997.000000,192.734940,160.001889,66.000000,401.000000,0.000000,15997.000000,192.734940,192.734940,0.000000,160.001889,0.000000,66.000000,0.000000,401.000000,52463000.000000,63605000.000000,6000.000000,146644000.000000,0.000000,4302005000.000000,0.000000,52463000.000000,0.000000,63605000.000000,0.000000,6000.000000,0.000000,146644000.000000
